Fecha,PD90,TPM,FX,INF_YOY
Jan-24,0.01017,5.75,521.52,-1.87
Feb-24,0.01074,5.75,519.46,-1.13
Mar-24,0.01175,5.25,510.02,-1.19
Apr-24,0.01247,4.75,504.98,-0.52
May-24,0.01349,4.75,515.44,-0.33
Jun-24,0.01071,4.75,528.99,-0.03
Jul-24,0.01095,4.75,529.25,0.03
Aug-24,0.01160,4.75,525.70,0.31
Sep-24,0.01203,4.25,522.02,-0.14
Oct-24,0.01192,4.00,518.65,-0.79
Nov-24,0.01204,4.00,513.61,-0.09
Dec-24,0.01192,4.00,509.14,0.84
Jan-25,0.01188,4.00,508.67,1.15
Feb-25,0.01149,0.00,509.92,1.25
Mar-25,0.01110,4.00,504.40,1.21
Apr-25,0.01264,4.00,508.36,0.37
May-25,0.01298,4.00,509.33,-0.12
Jun-25,0.01190,4.00,508.64,-0.22
Jul-25,0.01206,3.75,507.23,-0.61
Aug-25,0.01207,3.75,507.74,-0.94
Sep-25,0.01089,3.50,507.51,-1.00
Oct-25,0.01075,3.50,506.00,-0.38
Nov-25,0.01187,3.50,502.41,-0.38
Dec-25,0.01200,3.25,497.76,-1.23
Jan-26,0.00992,3.25,497.94,-2.53
